open	high	low	fluctuation range	close	day range	adj_close
466.100006	469	452.100006	16.899994	460.649994	5.450012	425.719543
463.100006	475.850006	461	14.850006	473.850006	10.75	437.91864
474.049988	483.799988	471	12.799988	480.649994	6.600006	444.203003
481.5	500.799988	474.700012	26.099976	494.299988	12.799988	456.817902
497	522.900024	493.5	29.400024	519.450012	22.450012	480.060852
517	517.900024	502	15.900024	510.950012	6.049988	472.205353
514.25	523.900024	513	10.900024	518.200012	3.950012	478.905487
518	518.150024	497.149994	21.00003	500	18	462.085663
494	519.5	487.5	32	512.450012	18.450012	473.591614
519.849976	521.900024	491.149994	30.75003	494.850006	24.99997	457.326202
493.899994	505.299988	485.549988	19.75	501	7.100006	463.009827
501.899994	501.950012	484.100006	17.850006	488.049988	13.850006	451.04184
492.700012	504.5	488.5	16	495.600006	2.899994	458.019318
588	588	490.350006	97.649994	500.049988	87.950012	462.131897
502.149994	516	502.149994	13.850006	514.549988	12.399994	475.532471
517	531.650024	513.599976	18.050048	529.299988	12.299988	489.163879
531	534.400024	517.049988	17.350036	521.400024	9.599976	481.862946
522.150024	531.700012	522	9.700012	529.5	7.349976	489.348663
531.200012	533.849976	523.049988	10.799988	524.849976	6.350036	485.051331
431	527.700012	431	96.700012	516.599976	85.599976	477.426971
513.5	516.5	470.100006	46.399994	509.200012	4.299988	470.588074
504	510.899994	502	8.899994	505.25	1.25	466.937592
501.799988	509.899994	491.100006	18.799988	507.049988	5.25	468.601105
511	515.5	472	43.5	483.799988	27.200012	447.114105
474.899994	489	468.100006	20.899994	478.100006	3.200012	441.846344
480.049988	487.5	476.200012	11.299988	483.399994	3.350006	446.744476
487	488	477.100006	10.899994	480.549988	6.450012	444.110535
480.25	485	466.950012	18.049988	471.75	8.5	435.977844
469	477.5	440.200012	37.299988	443.299988	25.700012	409.68515
444.899994	458.399994	436.649994	21.75	448.700012	3.800018	414.67572
450	454.850006	442.649994	12.200012	450.25	0.25	416.108185
453.549988	490.899994	452.899994	38	478.299988	24.75	442.031189
478.299988	494	478.299988	15.700012	489.399994	11.100006	452.289459
488.399994	497.850006	479	18.850006	492.75	4.350006	455.385406
490	494	476	18	478.399994	11.600006	442.123535
477.549988	499.399994	476.600006	22.799988	497.450012	19.900024	459.729034
497	519.700012	496.5	23.200012	517.099976	20.099976	477.888977
518	525.900024	515.049988	10.850036	521.650024	3.650024	482.094025
522	548.700012	522	26.700012	542.400024	20.400024	501.27066
548.450012	548.450012	531.549988	16.900024	539.099976	9.350036	498.220764
541	545.5	526.549988	18.950012	531.700012	9.299988	491.381989
530	541.849976	526.400024	15.449952	536	6	495.355865
531.549988	542	526	16	529.650024	1.899964	489.487366
530	537.200012	520.549988	16.650024	534.799988	4.799988	494.246826
534.700012	555	531.299988	23.700012	548.099976	13.399964	506.538239
548.400024	548.700012	539	9.700012	541.650024	6.75	500.577393
543	554	539.549988	14.450012	549.900024	6.900024	508.201813
549	549.700012	536	13.700012	540.599976	8.400024	499.607025
541.049988	570.799988	538	32.799988	563.25	22.200012	520.539551
563.299988	593	556.049988	36.950012	588.599976	25.299988	543.967285
591	599.799988	575.349976	24.450012	580.25	10.75	536.250488
579.900024	579.900024	556.599976	23.300048	558.599976	21.300048	516.242065
556.900024	572	554.200012	17.799988	559.799988	2.899964	517.351135
555	580	555	25	573	18	529.550232
569	575.700012	535.099976	40.600036	544.5	24.5	503.211273
542	543.799988	514.799988	29	535.049988	6.950012	494.477905
540	556.450012	539	17.450012	544.349976	4.349976	503.072754
542	551.599976	540	11.599976	546.099976	4.099976	504.689972
555	558.700012	547.650024	11.049988	551.349976	3.650024	509.54187
550	551	522.299988	28.700012	525.900024	24.099976	486.02179
519.900024	520	502.100006	17.899994	505.950012	13.950012	467.584503
500.25	500.25	467.149994	33.100006	477.649994	22.600006	441.43045
475	489.899994	470.149994	19.75	483.25	8.25	446.605896
469.899994	503.799988	442.299988	61.5	476.200012	6.300018	440.090393
483	488.350006	412	76.350006	426.950012	56.049988	394.574982
421.399994	444.649994	300	144.649994	400.600006	20.799988	370.223053
410	455.950012	406	49.950012	447.049988	37.049988	413.150757
465	488	453.700012	34.299988	462.450012	2.549988	427.383118
460.100006	479.950012	441.549988	38.400024	471.600006	11.5	435.839233
471.399994	474.399994	455	19.399994	462.950012	8.449982	427.845154
466.149994	481.700012	465.149994	16.550018	474.149994	8	438.195831
472	473	448.399994	24.600006	454.25	17.75	419.80481
460	464.799988	439.399994	25.399994	443.399994	16.600006	409.777618
443.950012	445.700012	429.149994	16.550018	435.149994	8.800018	402.153168
438.549988	439	397.350006	41.649994	405.450012	33.099976	374.705292
380	399	380	19	386.600006	6.600006	357.284698
393	412	392	20	402.350006	9.350006	371.840393
401	410.450012	388.25	22.200012	391.549988	9.450012	361.859314
400.149994	408	369.100006	38.899994	377.350006	22.799988	348.736053
374	386	368	18	383.799988	9.799988	354.696991
388.200012	394.899994	380	14.899994	385.25	2.950012	356.037048
388	400.299988	384.5	15.799988	397.649994	9.649994	367.496765
401	419.850006	397.5	22.350006	417.950012	16.950012	386.257385
414.899994	414.899994	405	9.899994	411.649994	3.25	380.43515
418	418	385.100006	32.899994	389.049988	28.950012	359.548828
384.399994	394.799988	378.5	16.299988	390.5	6.100006	360.888885
392	399.399994	388.700012	10.699982	393.5	1.5	363.661407
395	397.399994	380.299988	17.100006	382.399994	12.600006	353.403076
398.899994	402.399994	378	24.399994	398.600006	0.299988	368.374695
399	399	388.600006	10.399994	393	6	363.199341
392.149994	396.950012	378.049988	18.900024	379.649994	12.5	350.861633
370.549988	387	370.549988	16.450012	376.5	5.950012	347.950531
380	383.950012	362.049988	21.900024	364.75	15.25	337.091492
363.350006	384.5	360.25	24.25	381.700012	18.350006	352.756256
384	391.899994	375.5	16.399994	385.450012	1.450012	356.221863
386.399994	394.450012	378.299988	16.150024	392.149994	5.75	362.413788
390.149994	400	386.649994	13.350006	395.899994	5.75	365.879425
396	408.350006	395.549988	12.800018	403.200012	7.200012	372.625885
405.25	409	396.100006	12.899994	405.100006	0.149994	374.381836
401	408.600006	397	11.600006	405	4	374.289368
407.600006	412.950012	398.649994	14.300018	401.100006	6.5	370.685181
398.049988	410.950012	398.049988	12.900024	409.25	11.200012	378.217133
